Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2014-03-25,162000.0,186.31,2.795,14.02,15.7,16.25,16.85,17.4,2,17,-0.02673475518173629,0.004745726150029661,0.8149350649350648,-0.07090788601722997,-0.01567398119122254,-0.012158054711246202,-0.005899705014749124,0.0
2014-03-26,167550.0,184.97,1.98,14.93,16.05,16.65,17.15,17.65,3,16,0.03425925925925921,-0.007192313885459711,-0.29159212880143115,0.06490727532097007,0.022292993630573354,0.024615384615384484,0.01780415430267035,0.014367816091954033
2014-03-27,163500.0,184.58,2.02,14.62,15.75,16.4,16.95,17.5,4,15,-0.024171888988361645,-0.0021084500189219035,0.02020202020202011,-0.02076356329537843,-0.01869158878504673,-0.01501501501501501,-0.011661807580174877,-0.008498583569405027
2014-03-28,159600.0,185.49,2.11,14.41,15.6,16.25,16.8,17.35,5,14,-0.023853211009174258,0.00493011160472423,0.044554455445544594,-0.014363885088919282,-0.009523809523809601,-0.009146341463414531,-0.008849557522123797,-0.008571428571428452
2014-03-31,149775.0,187.01,2.255,13.88,15.15,15.85,16.4,16.95,1,13,-0.06156015037593987,0.008194511833521823,0.06872037914691953,-0.03678001387925045,-0.028846153846153855,-0.024615384615384595,-0.023809523809523947,-0.023054755043227737
2014-04-01,139950.0,188.25,2.575,13.1,14.5,15.45,16.05,16.6,2,12,-0.06559839759639463,0.006630661461954013,0.14190687361419085,-0.05619596541786753,-0.04290429042904298,-0.025236593059936974,-0.021341463414634054,-0.020648967551622266
2014-04-02,141800.0,188.88,2.74,13.09,14.6,15.55,16.15,16.75,3,11,0.013219006788138588,0.003346613545816668,0.06407766990291264,-0.0007633587786259888,0.006896551724137945,0.006472491909385258,0.006230529595015355,0.009036144578313143
2014-04-03,141225.0,188.63,2.095,13.37,14.45,15.4,16.0,16.55,4,10,-0.004055007052186199,-0.00132359169843288,-0.23540145985401462,0.021390374331550666,-0.010273972602739767,-0.009646302250803873,-0.009287925696594312,-0.011940298507462699
2014-04-04,147300.0,186.4,1.785,13.96,14.85,15.75,16.25,16.8,5,9,0.04301646309081253,-0.011822085564332285,-0.14797136038186165,0.04412864622288715,0.02768166089965396,0.022727272727272707,0.015625,0.015105740181268867
2014-04-07,154050.0,184.34,0.145,15.57,15.5,16.0,16.4,16.95,1,8,0.04582484725050917,-0.011051502145922765,-0.9187675070028011,0.11532951289398286,0.043771043771043905,0.015873015873015817,0.009230769230769154,0.008928571428571397
2014-04-08,148100.0,185.1,0.69,14.89,15.15,15.75,16.25,16.75,2,7,-0.03862382343394999,0.004122816534664064,3.7586206896551726,-0.0436737315350032,-0.022580645161290325,-0.015625,-0.009146341463414531,-0.01179941002949847
2014-04-09,140550.0,187.09,1.495,13.82,14.5,15.45,16.0,16.6,3,6,-0.050979068197164024,0.010750945434900183,1.166666666666667,-0.07186030893216921,-0.04290429042904298,-0.01904761904761909,-0.01538461538461533,-0.008955223880596885
2014-04-10,157625.0,183.155,0.14,15.89,15.85,16.25,16.5,17.0,4,5,0.12148701529704731,-0.021032658078999455,-0.9063545150501672,0.14978292329956577,0.09310344827586214,0.05177993527508096,0.03125,0.02409638554216853
